respondent_id,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,WB_1,WB_2,WB_3,WB_4,WB_5,WB_6,WB_7,WB_8,WB_9,WB_10,WB_11,WB_12,WB_13,WB_14,WB_15,WB_16,WB_17,WB_18,WB_19,WB_20,department,gender,management_level,ethnicity,job_level,is_manager,campus,performance_rating,manager_id,manager_name,terminated,erg_participations
R0105,4,4,4,4,3,2,3,4,4,4,4,5,4,5,2,3,2,2,3,3,3,4,4,2,3,3,5,3,4,2,2,3,2,3,3,3,4,4,Communications,Male,Senior Leader,Minority,Entry,1,Southeast,Meets,M0034,Manager 47,1,2
R0106,4,5,5,5,4,3,2,3,3,3,3,3,2,3,3,4,3,3,2,2,1,2,3,2,3,3,3,2,2,3,2,1,3,2,2,2,2,1,Engineering,Male,Individual Contributor,Non-Minority,Senior Manager,0,West,Meets,M0007,Manager 34,0,0
R0107,3,3,3,4,4,5,3,4,2,1,1,3,2,1,4,3,4,3,2,3,4,4,4,3,4,3,3,3,3,4,3,4,3,4,4,3,4,4,Operations,Female,Individual Contributor,Non-Minority,Director,0,Remote,Below,M0019,Manager 36,0,2
R0108,3,4,3,4,3,3,3,3,4,5,5,4,5,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,2,2,3,2,3,3,4,3,Engineering,Male,Individual Contributor,Non-Minority,Senior Manager,0,Northeast,Meets,M0004,Manager 11,1,2
R0109,4,4,5,5,3,4,3,4,5,5,5,5,4,5,1,1,1,2,3,3,3,4,3,3,3,4,3,3,2,3,3,3,2,2,4,4,2,3,Operations,Female,Individual Contributor,Minority,VP,0,West,Below,M0012,Manager 23,0,2
R0110,3,3,3,3,5,4,4,4,2,2,3,2,2,3,4,4,4,4,2,3,2,3,4,3,3,4,4,3,4,3,4,5,4,2,3,4,3,4,Communications,Female,Manager,Minority,Director,1,Remote,Meets,M0036,Manager 39,0,0
R0111,4,5,5,5,5,5,4,5,3,3,2,2,2,1,1,1,2,2,3,3,1,4,3,3,2,4,3,3,3,4,3,3,3,2,3,3,4,2,Risk Management,Female,Individual Contributor,Non-Minority,Manager,0,West,Below,M0038,Manager 9,0,0
R0112,3,4,4,3,2,5,4,5,4,4,3,4,4,3,4,4,5,4,3,3,3,4,5,4,4,4,3,4,4,4,4,4,4,4,3,4,4,5,Engineering,Male,Individual Contributor,Non-Minority,Entry,0,Remote,Below,M0046,Manager 10,0,2
R0113,3,3,3,3,3,4,4,4,4,3,3,2,3,3,4,4,4,4,2,4,3,2,3,4,3,2,2,2,2,2,2,2,3,2,3,3,3,3,Research,Male,Individual Contributor,Non-Minority,Professional,0,Southeast,Exceeds,M0025,Manager 37,0,0
R0114,4,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,4,3,3,3,1,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,Supply Chain,Female,Individual Contributor,Minority,Senior Professional,0,Northeast,Exceeds,M0047,Manager 41,1,0
R0115,2,3,3,3,3,3,3,2,3,2,2,2,2,2,4,5,3,5,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,2,4,3,3,4,Operations,Male,Individual Contributor,Non-Minority,Director,0,Southeast,Meets,M0044,Manager 39,0,0
R0116,3,3,2,4,3,3,1,2,4,5,5,4,5,4,5,4,4,4,5,4,3,4,4,3,4,4,2,4,3,4,4,4,5,4,4,4,4,4,Legal,Female,Individual Contributor,Minority,Director,0,West,Exceeds,M0012,Manager 29,0,0
R0117,4,5,4,5,5,4,4,5,4,4,4,4,4,5,3,3,3,3,3,3,1,3,3,2,3,2,1,2,2,2,3,1,3,2,2,2,3,2,Operations,Female,Individual Contributor,Non-Minority,VP,0,West,Meets,M0033,Manager 19,0,0
R0118,4,2,3,3,5,5,4,5,3,4,3,3,2,4,4,3,3,4,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,Engineering,Male,Senior Leader,Non-Minority,Manager,1,Remote,Meets,M0046,Manager 15,1,2
R0119,4,4,4,4,3,3,4,4,2,3,3,3,3,3,5,4,4,4,2,2,2,3,3,2,2,3,2,3,3,2,2,2,3,1,2,2,3,2,Engineering,Female,Individual Contributor,Non-Minority,Director,0,Northeast,Exceeds,M0020,Manager 27,1,0
R0120,3,3,2,3,2,3,3,2,4,4,4,5,5,5,3,3,3,2,4,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,4,5,3,4,Communications,Female,Manager,Minority,Senior Professional,1,Northeast,Meets,M0041,Manager 6,1,0
R0121,4,4,4,4,5,3,5,4,4,5,4,4,4,5,2,2,2,2,4,4,3,4,4,4,4,4,3,4,3,3,3,3,2,4,2,5,4,3,Human Resources,Female,Individual Contributor,Minority,Director,0,Southeast,Meets,M0006,Manager 11,0,2
R0122,4,4,4,4,3,4,4,3,4,4,4,4,4,4,2,3,2,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,5,3,3,4,4,4,IT,Male,Individual Contributor,Non-Minority,Entry,0,Northeast,Meets,M0048,Manager 19,0,1
R0123,5,5,4,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,1,2,2,3,2,2,2,3,2,2,2,3,2,3,3,3,2,3,3,3,Customer Service,Male,Manager,Non-Minority,Manager,1,Northeast,Meets,M0028,Manager 44,0,0
R0124,5,5,5,5,3,3,4,3,5,5,4,4,4,4,3,3,3,3,4,3,2,3,4,4,3,4,3,3,3,3,4,3,2,3,3,3,3,4,Customer Service,Male,Individual Contributor,Minority,Director,0,Southeast,Meets,M0031,Manager 32,0,2
R0125,3,3,3,2,1,2,2,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,3,5,4,5,4,3,4,4,4,4,4,Customer Service,Male,Individual Contributor,Non-Minority,Director,0,Remote,Meets,M0045,Manager 8,1,2
R0126,2,3,3,4,3,4,2,3,3,3,3,4,4,3,2,2,2,3,2,3,3,4,4,2,3,3,2,2,5,3,4,4,3,3,3,3,3,2,Legal,Female,Individual Contributor,Non-Minority,Entry,0,Remote,Exceeds,M0013,Manager 48,0,0
R0127,5,5,5,4,3,3,4,3,2,2,3,2,2,2,4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,3,3,Finance,Male,Individual Contributor,Non-Minority,Director,0,West,Meets,M0045,Manager 35,0,2
R0128,2,3,3,3,5,4,4,5,1,1,2,2,2,1,3,3,2,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,1,3,2,3,2,Supply Chain,Male,Individual Contributor,Non-Minority,Senior Professional,0,Southeast,Meets,M0048,Manager 43,0,2
R0129,4,4,4,4,3,4,3,3,5,4,5,5,5,4,3,3,3,4,2,4,4,3,4,2,5,3,3,2,3,2,3,3,2,3,3,2,3,3,Risk Management,Male,Manager,Non-Minority,Senior Manager,1,Remote,Exceeds,M0003,Manager 39,0,1
R0130,5,5,5,5,3,3,4,2,3,3,5,5,4,4,4,3,4,3,4,4,4,5,4,4,5,2,5,5,5,4,4,5,5,4,4,5,3,4,Product,Male,Individual Contributor,Minority,Professional,0,Remote,Meets,M0015,Manager 12,0,0
R0131,5,5,4,4,3,2,4,2,3,4,4,3,3,3,3,4,3,3,5,5,3,4,5,4,5,5,4,4,4,4,3,4,3,5,5,3,5,5,Human Resources,Male,Individual Contributor,Non-Minority,Senior Professional,0,Southeast,Meets,M0033,Manager 23,0,1
R0132,5,4,4,5,5,4,4,4,5,4,4,5,4,4,4,5,4,4,1,2,2,3,1,2,2,2,2,2,2,2,2,1,2,1,2,3,1,2,Finance,Male,Individual Contributor,Non-Minority,Manager,0,West,Meets,M0025,Manager 11,0,3
R0133,4,4,3,4,4,3,5,5,2,3,2,2,2,2,3,4,3,3,3,3,3,3,4,4,4,2,4,4,3,4,3,2,3,4,2,3,3,3,Operations,Female,Individual Contributor,Non-Minority,Entry,0,Midwest,Exceeds,M0044,Manager 16,0,1
R0134,4,4,4,4,3,3,3,2,3,3,2,3,3,3,3,3,3,3,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,Risk Management,Female,Manager,Non-Minority,Senior Manager,1,Northeast,Meets,M0019,Manager 20,0,0
R0135,3,4,4,4,4,4,3,5,4,4,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,5,3,4,4,4,4,4,3,Product,Female,Individual Contributor,Non-Minority,Senior Professional,0,Midwest,Meets,M0014,Manager 1,0,0
R0136,5,4,5,4,4,4,4,5,2,2,3,2,2,2,3,3,4,3,3,3,3,5,3,4,3,4,4,3,3,4,4,4,4,4,5,3,4,2,Supply Chain,Female,Individual Contributor,Non-Minority,Director,0,Remote,Meets,M0026,Manager 14,0,0
R0137,4,3,3,3,3,3,3,3,5,5,4,5,4,4,3,4,3,4,2,3,4,2,2,1,2,3,3,3,3,4,4,2,2,2,2,3,2,3,Engineering,Female,Individual Contributor,Non-Minority,Director,0,Remote,Meets,M0003,Manager 30,0,0
R0138,4,4,4,5,3,4,4,3,4,3,4,4,4,4,4,5,5,4,3,5,3,4,4,3,3,3,4,3,3,2,4,3,4,3,3,4,4,4,IT,Male,Manager,Non-Minority,VP,1,West,Below,M0004,Manager 23,0,2
R0139,5,4,5,5,5,4,4,4,5,5,5,5,4,5,4,3,3,3,2,3,4,3,4,4,4,4,3,3,3,3,4,4,4,4,2,4,2,3,Finance,Male,Manager,Non-Minority,Senior Manager,1,West,Meets,M0022,Manager 20,0,3
R0140,4,3,3,5,2,2,2,3,3,3,3,3,3,3,3,3,4,3,5,4,5,4,4,5,5,4,5,5,4,5,4,5,4,5,4,5,4,4,Operations,Male,Individual Contributor,Non-Minority,Entry,0,Northeast,Meets,M0023,Manager 47,0,2
R0141,3,4,3,4,3,2,3,2,2,2,2,3,2,1,3,3,3,5,5,3,4,3,4,3,4,4,5,5,5,4,4,5,5,5,4,4,4,5,Marketing,Male,Individual Contributor,Non-Minority,Manager,0,Midwest,Meets,M0001,Manager 7,0,2
R0142,5,5,4,5,4,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,4,3,4,4,3,4,3,3,4,3,4,4,3,3,3,3,5,3,Legal,Female,Senior Leader,Non-Minority,Manager,1,Southeast,Meets,M0006,Manager 34,0,0
R0143,4,5,4,5,4,5,5,4,5,5,5,4,5,4,5,5,5,4,4,3,4,3,3,2,4,4,3,4,4,4,4,4,3,5,3,4,4,4,Customer Service,Female,Individual Contributor,Minority,Professional,0,West,Meets,M0008,Manager 32,0,0
R0144,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,3,4,5,5,4,3,4,5,4,5,5,5,Finance,Female,Individual Contributor,Non-Minority,Professional,0,Midwest,Meets,M0015,Manager 31,0,3
R0145,5,4,5,4,4,4,3,4,3,2,3,4,4,3,3,3,3,4,3,3,2,3,2,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,Legal,Female,Individual Contributor,Non-Minority,Senior Professional,0,Midwest,Exceeds,M0024,Manager 28,0,0
R0146,5,5,5,5,4,3,2,3,4,4,4,4,2,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,Marketing,Male,Individual Contributor,Non-Minority,Senior Manager,0,Midwest,Meets,M0007,Manager 29,0,0
R0147,4,4,3,4,4,3,3,4,4,4,5,4,4,4,4,5,4,3,4,3,5,3,4,4,4,4,4,5,4,5,3,4,4,4,5,4,3,4,Research,Female,Individual Contributor,Non-Minority,VP,0,West,Meets,M0011,Manager 9,0,0
R0148,3,2,2,2,4,4,4,4,5,4,5,4,4,4,3,4,3,3,3,5,4,4,4,5,4,4,5,5,5,4,4,4,4,4,4,5,4,5,Operations,Female,Manager,Minority,Director,1,West,Meets,M0001,Manager 23,1,1
R0149,3,3,3,3,2,2,2,2,4,4,5,5,4,5,4,4,3,4,2,2,1,2,2,2,2,2,2,3,2,1,2,2,2,3,1,3,2,3,Risk Management,Male,Individual Contributor,Minority,Director,0,Southeast,Meets,M0008,Manager 13,0,2
R0150,4,4,3,4,3,4,3,5,5,5,5,5,5,5,3,3,3,3,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,Engineering,Male,Individual Contributor,Minority,Entry,0,Southeast,Meets,M0026,Manager 27,0,3
R0151,3,4,5,4,3,3,2,2,5,5,5,5,5,5,3,3,4,4,2,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,2,3,Supply Chain,Female,Individual Contributor,Non-Minority,Senior Professional,0,Northeast,Exceeds,M0011,Manager 43,0,0
R0152,4,4,4,3,4,5,3,4,5,4,4,4,4,4,4,5,5,4,3,3,3,4,3,3,4,4,3,3,5,4,3,4,4,4,4,4,4,3,Sales,Female,Individual Contributor,Non-Minority,Manager,0,Midwest,Exceeds,M0008,Manager 27,0,0
R0153,3,3,3,2,4,3,5,3,4,4,4,5,5,4,5,5,4,5,4,5,4,4,4,3,5,3,4,3,4,4,4,5,4,5,5,4,4,4,Product,Male,Individual Contributor,Non-Minority,Senior Manager,0,West,Exceeds,M0044,Manager 46,0,2
R0154,4,5,3,4,5,4,4,4,4,5,4,3,4,5,4,4,4,3,5,4,3,3,2,5,5,3,4,4,3,3,4,4,3,4,5,4,4,4,Marketing,Female,Manager,Non-Minority,Senior Professional,1,West,Meets,M0033,Manager 47,0,0
R0155,5,5,4,5,2,3,3,3,5,4,3,3,4,4,4,4,3,4,3,4,3,4,2,2,2,4,4,2,3,2,2,3,3,3,2,4,3,3,Supply Chain,Male,Manager,Non-Minority,VP,1,West,Meets,M0009,Manager 8,0,0
R0156,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,2,2,3,2,2,2,2,3,2,2,2,3,2,2,3,3,1,1,2,2,Human Resources,Male,Manager,Minority,VP,1,Northeast,Meets,M0009,Manager 10,0,1
R0157,3,3,4,3,3,4,4,5,4,3,3,3,3,4,3,4,3,4,3,1,3,3,3,2,3,2,3,3,2,4,3,3,2,4,2,3,2,2,Operations,Female,Individual Contributor,Non-Minority,Senior Manager,0,Northeast,Meets,M0050,Manager 44,0,0
R0158,5,5,4,5,2,2,3,3,4,3,3,3,3,3,3,4,4,3,2,2,2,3,2,2,3,1,3,2,3,2,4,2,3,3,2,2,3,2,Sales,Female,Individual Contributor,Minority,Entry,0,Midwest,Meets,M0028,Manager 39,0,1
R0159,3,3,3,3,5,5,5,5,4,4,3,3,3,3,2,2,3,3,2,3,1,2,3,1,1,3,1,1,3,2,2,2,1,2,3,2,3,1,Supply Chain,Female,Individual Contributor,Minority,Entry,0,West,Below,M0031,Manager 19,1,0
R0160,4,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,5,4,5,5,4,5,5,5,4,5,5,5,4,Engineering,Male,Senior Leader,Minority,Manager,1,Northeast,Meets,M0049,Manager 28,0,1
R0161,2,3,2,4,4,5,4,4,3,3,3,3,3,3,1,3,2,2,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,Sales,Male,Manager,Non-Minority,Senior Manager,1,Southeast,Meets,M0047,Manager 33,0,0
R0162,3,3,4,4,2,2,3,2,5,5,5,5,5,5,2,3,2,3,4,5,5,4,4,5,4,5,4,5,5,4,4,4,4,3,4,4,5,5,Marketing,Male,Manager,Minority,Professional,1,Midwest,Exceeds,M0050,Manager 8,1,1
R0163,3,3,4,4,4,4,3,3,5,5,5,4,4,5,3,3,2,3,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,4,5,Risk Management,Female,Individual Contributor,Non-Minority,Senior Professional,0,Southeast,Meets,M0043,Manager 28,1,3
R0164,3,3,4,3,3,3,3,3,4,4,4,4,4,4,3,3,2,3,4,3,3,2,3,3,3,3,3,3,3,2,3,3,4,3,3,3,4,4,Sales,Female,Manager,Non-Minority,Manager,1,Northeast,Meets,M0045,Manager 47,1,1
R0165,4,5,5,5,5,4,4,4,3,5,4,4,5,5,4,5,5,5,3,2,2,2,2,3,2,3,3,1,3,2,3,2,2,3,4,3,3,2,Customer Service,Male,Manager,Minority,Senior Manager,1,Southeast,Exceeds,M0013,Manager 38,0,0
R0166,3,3,2,3,3,3,4,4,4,3,3,3,3,4,4,3,3,3,4,4,4,2,4,4,4,3,4,4,4,4,3,3,5,4,4,4,4,4,Research,Male,Individual Contributor,Non-Minority,Director,0,Southeast,Meets,M0015,Manager 8,0,2
R0167,4,4,4,4,4,3,3,4,4,4,4,3,4,5,3,2,3,3,4,4,4,3,3,4,4,3,4,3,4,4,4,3,3,3,4,3,4,4,Marketing,Male,Individual Contributor,Non-Minority,Manager,0,Northeast,Meets,M0018,Manager 13,0,2
R0168,5,5,4,4,5,4,5,5,3,4,3,4,3,4,4,4,3,4,4,3,4,5,4,4,4,4,4,3,3,4,3,4,4,3,4,4,5,3,Marketing,Female,Manager,Non-Minority,Manager,1,Northeast,Meets,M0040,Manager 13,0,0
R0169,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,2,4,2,2,2,3,3,2,3,2,4,2,2,2,3,2,2,3,2,3,4,Human Resources,Male,Individual Contributor,Non-Minority,VP,0,Northeast,Below,M0025,Manager 27,0,1
R0170,4,4,3,4,4,5,4,5,4,5,5,5,5,5,2,3,2,2,3,4,5,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,Customer Service,Male,Individual Contributor,Non-Minority,Senior Professional,0,Southeast,Meets,M0015,Manager 22,0,1
R0171,2,1,2,1,5,4,5,5,4,4,5,5,4,4,4,5,5,4,3,3,4,3,2,3,2,2,2,4,3,3,2,2,2,4,3,3,3,2,Legal,Male,Individual Contributor,Non-Minority,Manager,0,Northeast,Exceeds,M0033,Manager 28,0,1
R0172,4,5,5,4,4,3,3,3,1,2,3,2,2,1,4,5,5,5,4,3,4,3,5,4,3,3,4,4,4,2,4,3,4,4,3,4,4,3,Research,Female,Individual Contributor,Non-Minority,Entry,0,Midwest,Meets,M0008,Manager 18,0,0
R0173,4,3,4,4,4,4,4,3,5,5,5,5,5,4,4,4,4,3,2,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,1,2,2,2,Operations,Female,Manager,Non-Minority,Senior Professional,1,Midwest,Meets,M0046,Manager 27,0,0
R0174,3,3,3,2,5,5,4,5,4,3,4,4,4,3,4,3,3,4,5,4,4,4,4,4,4,3,5,3,4,4,5,4,4,4,4,3,3,3,Sales,Male,Individual Contributor,Non-Minority,Senior Professional,0,Northeast,Exceeds,M0012,Manager 3,0,1
R0175,3,3,4,5,4,4,4,4,4,2,3,4,3,3,3,3,3,3,3,3,3,4,1,3,2,4,3,3,3,3,2,4,4,4,3,3,3,3,Finance,Female,Individual Contributor,Non-Minority,Entry,0,Midwest,Below,M0014,Manager 19,0,1
R0176,4,3,3,2,4,4,4,4,4,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,4,4,5,5,5,5,4,5,Product,Male,Individual Contributor,Non-Minority,Senior Professional,0,Remote,Meets,M0007,Manager 28,1,2
R0177,3,2,3,3,4,3,3,4,5,5,4,5,5,5,3,4,4,3,3,4,4,4,3,4,3,3,3,3,3,3,2,3,3,3,4,3,4,4,Marketing,Male,Individual Contributor,Minority,Senior Professional,0,West,Meets,M0024,Manager 22,1,3
R0178,3,2,2,3,2,1,1,1,3,2,3,2,2,2,4,4,4,4,5,5,5,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,Engineering,Female,Manager,Non-Minority,Entry,1,Northeast,Exceeds,M0043,Manager 1,1,3
R0179,3,4,4,4,3,4,3,4,5,4,5,5,4,5,4,4,4,4,3,2,2,2,2,3,2,2,3,3,2,3,3,2,2,4,3,4,2,2,Research,Male,Individual Contributor,Non-Minority,Senior Manager,0,Southeast,Meets,M0022,Manager 24,0,0
R0180,3,3,3,2,3,4,2,4,3,3,4,4,4,4,5,3,4,4,5,4,4,4,3,3,5,3,4,3,4,4,3,3,4,3,3,3,4,4,Supply Chain,Female,Individual Contributor,Non-Minority,VP,0,Midwest,Exceeds,M0048,Manager 50,0,1
R0181,5,5,4,4,2,3,3,2,3,4,3,3,3,3,3,2,4,3,3,3,3,4,3,3,3,3,3,2,3,3,3,4,4,3,3,2,3,4,IT,Male,Senior Leader,Non-Minority,Senior Manager,1,Remote,Meets,M0024,Manager 16,0,3
R0182,3,3,3,3,4,5,5,5,4,4,3,4,5,4,5,4,5,4,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,3,Research,Female,Individual Contributor,Non-Minority,Senior Professional,0,Southeast,Below,M0038,Manager 25,0,0
R0183,5,5,4,5,3,3,4,3,4,4,4,4,5,4,4,4,4,2,4,5,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,Human Resources,Female,Individual Contributor,Minority,Entry,0,Southeast,Meets,M0041,Manager 48,0,0
R0184,3,4,3,4,2,3,3,2,4,4,4,4,4,5,5,5,5,5,2,4,4,3,3,4,3,3,2,3,3,4,3,3,4,3,3,3,2,3,IT,Male,Senior Leader,Non-Minority,Entry,1,Northeast,Meets,M0038,Manager 42,0,2
R0185,5,5,4,5,5,5,4,4,5,5,5,5,5,5,4,4,3,4,3,2,1,3,3,3,2,3,3,1,3,3,2,2,1,3,3,2,3,2,Risk Management,Female,Individual Contributor,Non-Minority,Professional,0,Southeast,Meets,M0046,Manager 29,0,0
R0186,4,3,3,3,4,5,5,5,5,5,5,5,5,5,4,4,4,4,2,2,4,3,1,3,3,1,3,2,3,3,2,2,2,3,3,2,2,3,Human Resources,Male,Individual Contributor,Non-Minority,Entry,0,Remote,Meets,M0040,Manager 22,0,0
R0187,4,4,4,3,3,2,2,2,4,5,5,4,4,4,3,3,3,4,4,4,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,4,4,5,Engineering,Male,Individual Contributor,Non-Minority,Director,0,West,Exceeds,M0049,Manager 13,0,1
R0188,3,3,4,4,5,5,5,4,2,3,3,2,2,2,4,3,3,4,4,3,4,3,3,3,3,5,3,3,3,4,3,3,5,4,4,5,4,3,Customer Service,Female,Individual Contributor,Non-Minority,Director,0,Southeast,Meets,M0003,Manager 9,0,1
R0189,4,3,4,3,3,2,2,3,4,4,3,3,4,4,3,4,2,4,4,2,3,4,3,3,3,3,4,4,3,3,4,3,3,3,4,4,3,4,Sales,Female,Individual Contributor,Non-Minority,Manager,0,Remote,Below,M0046,Manager 17,1,0
R0190,5,5,5,5,5,5,5,4,2,2,2,1,1,2,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,Communications,Female,Individual Contributor,Non-Minority,VP,0,Remote,Meets,M0023,Manager 24,0,0
R0191,3,4,4,4,5,4,5,5,4,3,3,3,4,3,4,4,3,4,4,4,4,4,5,4,3,4,4,5,4,4,5,4,5,5,4,4,3,5,Product,Male,Individual Contributor,Non-Minority,Director,0,Northeast,Meets,M0028,Manager 5,0,0
R0192,3,3,4,4,2,3,3,3,3,3,2,4,3,3,4,5,5,5,4,3,3,4,3,4,4,4,5,5,3,3,2,5,3,4,3,4,3,3,Product,Female,Individual Contributor,Non-Minority,Manager,0,Remote,Below,M0033,Manager 2,0,3
R0193,3,3,4,4,3,4,3,4,4,4,4,3,5,5,3,4,4,4,2,1,1,2,2,2,3,1,1,2,1,2,1,1,3,1,1,2,1,1,Marketing,Male,Individual Contributor,Non-Minority,Senior Manager,0,Midwest,Exceeds,M0045,Manager 9,0,0
R0194,4,5,5,3,5,4,5,4,3,3,3,4,2,4,4,4,4,4,3,3,5,4,3,2,3,3,3,4,4,4,4,2,3,5,4,4,4,4,Engineering,Female,Individual Contributor,Non-Minority,Entry,0,Remote,Meets,M0004,Manager 45,0,1
R0195,5,4,4,4,3,3,2,3,2,3,3,3,2,3,3,3,2,2,4,3,4,3,4,5,4,4,5,3,3,4,4,4,3,5,4,5,3,4,Sales,Female,Manager,Non-Minority,Director,1,West,Meets,M0032,Manager 44,0,1
R0196,4,3,3,3,4,4,4,4,2,3,3,4,2,3,3,3,3,3,3,3,3,4,3,3,4,4,2,3,4,4,3,4,4,4,4,4,4,4,Customer Service,Female,Individual Contributor,Minority,VP,0,Remote,Meets,M0005,Manager 11,1,2
R0197,3,3,3,3,4,4,3,4,4,5,4,3,3,4,3,3,3,3,4,3,4,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,Product,Female,Individual Contributor,Non-Minority,VP,0,Remote,Exceeds,M0025,Manager 36,1,3
R0198,4,5,4,3,4,3,3,3,5,4,4,5,5,4,4,4,4,4,3,4,3,4,4,4,5,3,4,3,5,4,4,3,4,5,4,3,4,2,Communications,Male,Individual Contributor,Minority,Manager,0,West,Meets,M0039,Manager 18,0,2
R0199,3,3,2,3,4,3,4,4,5,5,4,5,5,5,2,3,2,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,5,4,4,4,Sales,Female,Manager,Non-Minority,Professional,1,Northeast,Meets,M0011,Manager 37,0,0
R0200,3,5,3,4,3,3,3,2,5,5,4,4,4,4,3,3,2,2,3,3,3,4,3,3,4,3,2,3,3,4,4,4,4,4,3,3,3,3,Sales,Female,Manager,Non-Minority,Senior Manager,1,Northeast,Below,M0033,Manager 30,0,1
R0201,4,4,3,4,3,2,3,2,3,3,4,4,3,3,4,4,4,4,3,4,3,3,4,3,3,3,2,3,2,4,3,4,3,4,3,3,4,4,Customer Service,Female,Manager,Minority,Director,1,Remote,Exceeds,M0017,Manager 20,0,0
R0202,4,5,4,4,4,5,5,5,4,5,4,5,5,4,3,3,4,4,3,3,3,3,3,2,4,2,3,2,3,4,3,3,3,2,4,3,2,2,Risk Management,Male,Individual Contributor,Minority,Professional,0,Midwest,Exceeds,M0046,Manager 18,0,0
R0203,4,3,3,3,5,5,4,5,2,2,3,3,4,3,4,4,4,4,3,3,4,4,3,3,4,5,4,4,4,3,4,3,4,4,4,3,4,3,Customer Service,Female,Individual Contributor,Minority,Entry,0,Southeast,Meets,M0015,Manager 3,0,0
R0204,3,3,4,4,4,4,4,5,2,1,2,2,2,2,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,Customer Service,Female,Manager,Non-Minority,Professional,1,Midwest,Meets,M0003,Manager 41,1,0
R0205,5,4,5,4,4,5,5,5,3,3,3,3,3,3,3,3,3,4,4,3,5,4,4,4,4,4,3,4,3,3,3,4,4,4,4,3,3,4,Marketing,Female,Individual Contributor,Non-Minority,Senior Professional,0,Southeast,Exceeds,M0018,Manager 4,0,0
R0206,5,5,5,4,5,5,5,5,3,1,2,2,3,3,4,3,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,Research,Female,Individual Contributor,Non-Minority,Professional,0,Southeast,Meets,M0035,Manager 8,0,0
R0207,1,1,1,2,3,3,3,4,4,5,4,3,3,3,3,3,4,3,4,5,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,4,4,5,Finance,Female,Individual Contributor,Minority,Director,0,Midwest,Exceeds,M0041,Manager 39,0,2
R0208,2,3,3,4,2,3,4,2,3,3,3,4,3,3,2,3,3,3,3,2,3,3,1,2,3,3,2,3,3,3,2,3,3,2,3,2,4,2,Operations,Female,Individual Contributor,Non-Minority,Senior Professional,0,Northeast,Meets,M0046,Manager 36,0,0
R0209,3,3,3,3,5,5,5,5,5,4,4,4,4,4,4,5,4,4,3,4,3,3,4,3,4,3,3,3,3,3,4,3,4,3,3,4,4,3,Engineering,Female,Individual Contributor,Minority,Director,0,Southeast,Meets,M0027,Manager 40,1,0
